gene,total_counts,expressed_cells
DEDD,6189.741717977605,5939
THSD4,7084.920380697379,5936
GRK6,6331.307612936952,5935
HOXC9,6697.157897922494,5930
PLAT,24200.35622504183,5926
ZNF599,6304.23066786194,5924
ZBTB24,6256.081538539572,5923
CHMP4C,6382.952911398499,5920
CMTM7,6736.417829337048,5919
SEC24A,6219.5884616111725,5919
USB1,6235.5864679546685,5917
ALOX5AP,11465.7198403077,5916
PLCL2,6669.04972143747,5914
DDX19B,6200.018109189236,5912
DOHH,6194.7506977572375,5910
C12orf23,7236.056692642207,5909
PLOD1,6314.6216301346485,5907
KIAA0040,6476.437553449262,5906
NIPAL1,8323.392140990012,5906
PDGFB,8534.18311250062,5905
TSR1,6293.358109739136,5905
RASGRP1,6841.3101875314205,5903
MADD,6187.919669844438,5902
RAB3D,6331.707275911014,5898
SH3BGRL2,6527.231387465295,5897
FGGY,6536.456122429587,5895
CD99L2,6273.614200085028,5895
HSD17B7,6306.43541613467,5894
CYB5D1,6302.438460654204,5893
CHD7,6344.718621775293,5892
NCAPH2,6165.439655895523,5890
FAM60A,7766.991870708486,5887
DDX59,6309.757396631202,5886
AGK,6187.432577447313,5880
NOL10,6194.046375776639,5880
FXYD6-FXYD2,7061.669884791678,5877
CEP78,6441.132952780441,5875
RNLS,6412.378169598238,5875
ELAC1,6251.638783284658,5874
NDST1,6249.464410351624,5874
GLIPR1,8227.824017270375,5873
WIPI1,6331.794791205042,5873
SPI1,10786.951190600143,5873
ALKBH2,6186.021529729854,5872
SIRT3,6213.167746946912,5871
ERCC3,6179.538817530705,5870
LRRC57,6207.250365057129,5870
ATG4C,6192.228306860484,5869
MTOR,6187.639480225745,5869
ZNF736,6238.324564735846,5869
WRN,6290.603798952481,5869
CDK19,6294.228790718592,5867
RWDD2B,6255.922993588578,5866
ABL2,6252.440473470427,5866
CD83,7721.311674172669,5864
FRMD8,6265.118644841717,5863
MCAM,11668.644765953435,5861
TRMT2A,6071.554001872712,5859
BAHD1,6239.162119972773,5858
TMEM185A,6142.295922121741,5858
ZNF141,6620.649535187544,5858
GPX8,6664.781711561304,5857
PRMT9,6557.652430065779,5853
FHL2,9615.770501781593,5850
C14orf1,7561.978739849325,5848
AMOTL1,6443.992314728587,5847
FKBP1B,6660.8668386082,5847
SLC16A10,6717.232248900496,5847
MSANTD4,6257.300475657417,5846
CAB39L,6510.604320284992,5845
SLC7A5,8294.166946281057,5844
NEDD1,6197.558519958681,5844
ZXDC,6167.763832840532,5843
NUBPL,6250.014656115987,5843
PPP1R37,6068.779442715791,5842
MSH2,6275.306636563085,5840
CCHCR1,6163.274508926056,5840
ALPK3,6488.884534987375,5838
FAM184A,6826.03051289107,5837
SRP14-AS1,6276.190731494361,5837
FAM213B,6375.743439762516,5836
SMIM11,7993.260878604963,5836
DHX16,6108.624462738818,5834
IRGQ,6168.238546819444,5833
CCDC28B,6675.882660193245,5833
NUP210,6155.288578939,5832
TBC1D8B,6418.639068520774,5827
CDKAL1,6132.848912372487,5826
AMMECR1,6300.872151484719,5826
SFT2D3,6132.492201275258,5825
DMAC2,6302.279895120788,5824
NRSN2,6237.482708680757,5824
WASHC5,6265.393660049364,5822
AGBL5,6144.1745016692885,5821
EGLN2,6418.926599579939,5821
SS18L1,6159.553458436393,5819
JARID2,6248.722524169289,5818
ATAD2B,6145.6335081298585,5817
LINC01139,6786.553288587,5816
GTF2IRD2B,6189.2737547031775,5814
TRAF3IP1,6270.116146478874,5814
RPH3AL,6313.837477093929,5813
KCNIP4,6684.685811348518,5813
FCGBP,7714.913461675431,5810
TMEM56,6750.304894451544,5809
ZNF195,6166.237711396835,5808
CNOT10,6083.195443461609,5806
PAFAH2,6164.4570727678765,5805
MFSD6,6372.00780240093,5804
GATD3A,6771.71776897525,5804
LEPR,7452.785591669713,5800
IRS1,6640.78040896154,5799
PHTF1,6163.132400918298,5795
CBFA2T2,6140.998329404617,5794
ATG16L2,6087.406716389984,5792
PRSS22,7219.463921475979,5790
HKR1,6102.789364118791,5787
AC004540.2,7926.3233617462565,5786
SETD1B,6069.994437463819,5786
SEMA4A,6426.898390424333,5781
SRGAP1,6532.959085909507,5779
PSKH1,6087.715756799212,5775
ABI3,7410.8892323869795,5774
CEMIP2,6647.671004296239,5773
MAP7D3,6687.03539545353,5771
CHML,6359.1007616596025,5771
FOXI1,13557.633636440976,5771
RBMXL1,6186.784824987478,5771
IER5,7036.028892985943,5769
N4BP2L1,6160.99541302261,5769
ADCK2,6126.660528743636,5769
MIS12,6061.675019902727,5768
PPP1R14A,13303.389447391419,5768
TRMT5,6081.659928316443,5767
CEP89,6112.20183110038,5766
SKIV2L,6021.364429601842,5764
ALKBH4,6098.39871360237,5764
SLC52A3,7258.1331445595015,5763
SYNPO,7838.5545181543675,5763
L3MBTL2,6033.873427861453,5762
TOPBP1,6133.536060473545,5762
XRCC1,6052.593209226006,5761
NR0B2,10189.722206655091,5761
C9orf64,6041.021134488981,5760
VPS26C,6169.915630615778,5760
LRRC14,6023.686640957017,5758
TJAP1,6041.1397379061955,5753
MTERF2,6325.456325117768,5753
CYYR1,7092.386386894836,5753
PARP12,6036.338337588544,5751
FAM117B,6137.779642753494,5751
TCTN2,6098.960168728763,5748
CFAP20,6237.340222663065,5743
ZCCHC11,7022.317858766992,5742
RFX3,6218.867568650837,5737
DIRAS3,6708.601822933713,5736
TAF9B,6091.169201498019,5735
LRRIQ1,6414.126380517231,5731
ARID3A,6282.926211795407,5731
PKNOX1,6125.322829579649,5731
NARS2,6090.002358308006,5729
AK9,6159.233824145336,5729
MAGI2,6346.828245352666,5728
FAM53B,6101.042969033008,5727
ZNF248,6138.63967624544,5726
ZNF276,5972.759490037217,5726
ING1,6100.339561202143,5724
KDM4B,6059.252507012773,5723
HIVEP1,6167.38477042968,5722
ZNHIT6,6092.229922635065,5722
MPI,6004.561605426265,5720
LDLRAP1,6017.197439002413,5717
IKZF5,6025.732683540246,5717
DHX8,6023.436759015138,5714
ARL13B,6151.631362428281,5713
MIEF2,6062.982736762624,5712
IFIT2,6517.388725017958,5710
LINC00909,6008.694851907253,5706
DIP2B,6022.413142479981,5706
FANCL,6072.665908193511,5705
HECTD2,6126.6922669843225,5697
TCF20,5981.401180452863,5697
EXOSC9,5998.20874671258,5697
HECA,6008.438667321601,5697
GNA12,6027.163867320389,5693
FCHSD2,6179.203918440763,5687
EML3,6005.4858970102105,5687
POFUT2,6005.649824463162,5687
HOXD3,6420.6829736647005,5687
LCLAT1,6001.1859549596675,5687
DIS3L2,5944.404597351912,5686
TELO2,5910.477509154353,5685
CBL,6075.242292380783,5683
CHCHD4,6034.203514190717,5682
CARF,6025.900845905507,5680
TGDS,5953.137972341454,5675
CCP110,6054.386755022943,5674
LTBP4,8648.521799221944,5673
SOX12,6050.10467349807,5672
CDK5RAP1,5889.664555780769,5672
DOCK5,6232.148320965378,5671
INAFM1,6347.101759166007,5670
KCNE3,6141.612784159577,5670
TFE3,6010.0592771541915,5669
PABPC1L,6086.57202216348,5668
CDADC1,6124.996985065618,5668
HDAC10,5930.576175847105,5668
C8orf76,5919.149007266087,5666
DENND1A,5987.658228985804,5666
GBP4,8461.779104318859,5666
UMAD1,6152.015237219084,5664
EIF1AD,5931.008382319434,5663
ST20,6051.133503144456,5662
RIC8B,6065.543664525602,5662
PMP22,8025.309495116481,5660
FAM173B,6080.352804334671,5658
DENND6B,5967.511311978351,5657
MT3,9846.528549972221,5657
AC022613.1,6864.675553946396,5655
ADA2,6742.694104247093,5654
PROSC,6914.698324372485,5653
PPIL1,5979.636763449001,5653
GBP2,6443.265606723941,5652
SFXN2,6432.446094130631,5651
TP53I11,6698.206561510314,5649
MRE11,6151.1027051080155,5647
REXO1,5917.1995809095,5646
ELK1,5920.171850570948,5646
AJUBA,6451.488363890654,5645
TGIF2,6019.1602605240405,5642
VPS9D1,5938.3505592984,5638
NUP93,5956.091056298046,5638
IFI30,12156.12240911045,5637
TMEM94,6103.2697541653215,5637
GEMIN2,5946.438237995115,5628
HEPACAM2,11499.147964783397,5627
ARMCX4,5974.038369721823,5626
TARBP2,5843.894508757945,5626
CFD,14565.539504088349,5626
METTL2B,5922.343734668579,5624
NPY1R,7293.428426438607,5623
MLYCD,5913.567178214629,5622
CADM4,6184.293825459772,5619
NAP1L2,6264.578583034652,5619
ALG6,5907.574126124377,5619
CRACR2B,6256.017712892909,5617
ATG10,5978.861895036932,5617
DCAF15,5871.3437317189055,5617
TRAF3IP3,6956.887120802102,5616
COQ8A,6059.209052667004,5615
TOR2A,5890.604380672187,5615
DPY19L3,5979.833699095601,5612
SAC3D1,6075.382467869369,5610
EFTUD2,5822.081736619798,5609
ZNF429,6001.629812365371,5608
AL031710.1,7552.417139605841,5607
RBMS3,7561.973903052866,5606
SLC27A1,5863.441379262885,5605
REPS1,5840.4754168609,5604
ZNF528,5973.328179102199,5604
ARHGAP32,5988.14902540481,5601
FAM228B,5952.9425791537205,5601
RHBDD3,5868.164416133908,5597
MFSD14C,6078.025073960142,5597
PROSER1,5924.714717427239,5593
FARS2,5833.327451175345,5593
ZNF562,5963.172553857542,5593
DROSHA,5879.55420162227,5592
TTL,5904.6804864870455,5591
RNF113A,5814.135703431119,5589
PIK3R3,6755.19447285815,5588
ZBTB25,5893.394727178181,5584
SSH3,5873.109433641741,5582
FBXL6,5869.031820056267,5580
TMTC4,5931.390547447799,5579
ASB1,5889.212670536951,5579
DNAH14,5967.242935760019,5579
DIAPH2,6120.627112386933,5579
SLC27A3,6070.260275782377,5578
CAMK2G,5897.155520543294,5576
ZNF394,5809.526778149181,5576
CAPN10,5775.526115639254,5570
CDHR5,8083.698407010195,5568
POLD3,6000.858835295612,5568
GPR116,22634.8287483441,5567
TOGARAM1,6039.648005950457,5567
ANKRD50,6087.99526432929,5565
KMT2D,5828.997809299772,5564
ZNF532,5852.02801471864,5564
MKRN2,5808.255553736839,5564
TUT7,6044.778781401333,5563
CNOT9,5933.914135586943,5563
NAA16,5894.708147313176,5563
SOX13,6063.427758695467,5563
SPA17,6067.602479252247,5562
CLEC3B,11318.504170198246,5561
ZNRF1,5914.640133845312,5561
MCC,6124.718037974483,5560
ABCC6,6273.352763548073,5559
HOMER1,6497.109029315422,5554
SNAPC2,5902.1476645597695,5554
C1orf198,5959.518298740998,5554
PRAF2,5887.3346035213635,5552
TRAC,9887.339443198587,5550
CDK18,6001.796216212167,5550
GBP1,6949.279102086522,5549
PROX1,8326.39620439519,5549
SMIM29,5971.454336559644,5549
IFT46,5783.468510417664,5548
TRBC2,13670.039087381441,5544
MRPL53,5928.970564535224,5543
MTFP1,6143.438710651725,5542
GNG10,7434.529511340286,5542
SEPSECS,5836.671570704945,5542
APBB3,5807.348598662947,5541
ARHGEF11,5784.596034500869,5541
ZNF407,5914.963850151538,5540
TRAPPC9,5791.945110493451,5539
RP9,5922.561923140334,5538
CD276,5994.010444253637,5537
SP2,5830.270475315337,5536
LRP12,5926.575545760579,5536
MTM1,5807.63224362319,5535
KLHL20,5852.420574793317,5533
HELLS,6629.758407751241,5532
ZNF138,5916.729458964618,5531
C9orf24,6647.055260925675,5531
CCDC61,5800.937743036069,5530
MIER3,5756.99786898003,5529
TRIM37,5897.106230740655,5529
SEPTIN7,9725.46736008774,5526
ZNF10,5954.917799822506,5525
SEL1L3,6605.578194833688,5523
RNF212,6252.976747795962,5523
CRABP1,10944.898690296586,5523
ABO,6426.6638238021005,5522
SPSB2,5775.7092473845105,5521
RASGEF1B,6716.84907057345,5521
ZNF3,5838.242036394004,5521
INTS5,5769.461956196771,5520
ATXN7L3,5747.991120147412,5520
ATAD3A,5762.955401298995,5519
PELI1,5969.2258227902075,5518
PPAN,5798.14543000118,5518
DSEL,7067.457829854582,5517
WASHC2C,5970.994851047268,5517
ANKRD36C,6251.557375819426,5516
MAFB,8829.97869319215,5515
BRWD3,5855.401794280317,5513
KIAA1033,6446.8847164332465,5511
PEAK1,6075.479183835894,5511
EVPL,5913.768593837223,5508
AC073218.2,10161.76836914262,5507
CERCAM,6203.683411314775,5501
RGS2,11371.35827931223,5500
PLA2G4F,6167.338895939671,5500
ZNF430,5981.684285093284,5498
TFB1M,5810.599351484157,5497
LINC00662,5919.59171443702,5497
BAIAP2L1,5985.28334936134,5496
RHOBTB1,6750.136247991844,5496
SLC25A44,5810.384630476598,5495
CDH3,6862.429058933046,5494
ISG20,7763.1057871756675,5494
SRF,6290.771724964708,5491
DNAJC9,5864.186046826291,5490
CLIP4,5944.517490032841,5487
TMEM250,5845.129022240449,5486
ASPDH,8436.506617264191,5480
LRIF1,5869.233584321376,5479
IRX3,8382.97004018873,5478
MTO1,5718.683425874341,5476
RAD54L2,5789.953676902052,5475
C2orf69,5799.720732400502,5474
FOCAD,5799.039993525654,5470
AAR2,5701.239152457952,5469
SEC22A,5712.505049888328,5468
CCDC148,6158.110752297452,5468
BTN2A1,5735.736328541469,5468
FZD8,6125.875022572488,5467
FAM161A,5963.324161777572,5466
CEL,8233.723964164374,5456
ITFG3,6510.1536707340965,5454
GRAMD4,5813.9998563189,5453
SDE2,5689.785620172565,5451
EDRF1,5736.862835856362,5450
ZNF544,5722.439710877556,5449
RNF166,5776.501662286913,5447
SLC35D1,5773.635747136554,5447
TRIM5,5752.572950767098,5447
DUSP14,5947.794535158667,5447
SYNJ1,5763.288320575531,5445
AGPAT9,8646.811449133385,5444
PPM1H,5863.824236185322,5444
PHTF2,5874.412096565792,5444
TFIP11,5666.491550047041,5443
ZDHHC23,5915.196924627139,5443
RBM38,5761.559989152808,5442
NEK4,5736.215343664257,5441
BCL9,5816.8082210459725,5437
GIN1,5760.392335967684,5437
KREMEN1,5883.293140173241,5437
HIVEP2,5837.661678544372,5436
RABL5,6920.632050253861,5435
TMEM186,5680.361486019454,5430
EPSTI1,6156.534756714615,5429
MRNIP,5827.068614023612,5428
HAAO,6318.067491045118,5427
TTBK2,5792.654825682213,5427
ELL,5675.641684987423,5425
ZNF814,5710.6902077938375,5424
TGFBRAP1,5695.9179998869795,5423
NR2C2AP,5728.56694709028,5422
SLC2A8,5678.8285809081,5419
SMO,5782.008177713233,5418
VARS2,5821.645012841516,5418
CIAO2B,9942.032566352504,5416
HSPB8,6623.732477853209,5416
INTS14,5812.824011268821,5416
GABPB2,5759.937309034391,5414
KLHDC4,5654.140039435375,5412
TSPAN5,6970.925308641909,5411
CDKL2,6206.862957821271,5411
ALKBH6,5637.441951769213,5410
SLC5A2,9365.965880350945,5410
MHENCR,5757.874339545692,5409
ITGB4,6171.8837262197585,5409
GPAM,5839.757106358512,5408
ATG2A,5618.718164283565,5406
ZFP62,5692.9126882903,5405
TRAF5,5822.919499629938,5403
PIP5K1C,5649.401982556328,5401
SUGP1,5612.284211792502,5398
PIFO,6074.826538474786,5397
PIGL,5699.251066754773,5397
HCFC2,5675.926725332654,5396
RHNO1,5701.42265250174,5395
C17orf58,5765.308526523415,5395
BCL2L12,5724.69924018437,5395
CDK7,5669.314155782284,5393
TUFT1,6288.1181089746615,5391
ACE2,8490.235578728658,5391
MESP1,6174.838489163242,5389
HERC5,5879.667221762641,5389
FBXO4,5689.784165218022,5387
ZNF708,5816.051371348473,5384
SCAI,5741.654725968431,5384
ACBD4,5586.090698908722,5383
SNX11,5612.04891974548,5380
B3GALT4,5717.930818706776,5379
OXNAD1,5773.882789233727,5378
CD14,16175.599865089755,5375
MATN2,6554.591130855053,5375
EXOC6B,5673.297871525248,5374
CTIF,5718.1343714454,5374
LINC02001,5963.96835241867,5372
KSR1,5663.871680581307,5371
YAE1D1,5703.763959004873,5369
HSDL1,5598.875885035751,5368
CTTNBP2,6479.12935046397,5366
PPARG,6057.475154944785,5365
PCBP4,5626.023648381932,5363
DPP3,5635.121175405838,5361
ALDH1A2,6694.376911960936,5361
THAP2,5676.789486750772,5359
TMEM88,11364.98989614649,5356
LIG4,5691.3944097604535,5356
KIAA0895L,5667.07895659931,5356
RFC2,5696.960994113229,5356
FXYD6,7748.5147530636905,5354
CMTR1,5548.061275369056,5354
IQSEC2,5695.195182557668,5351
AL451165.2,6012.044561012195,5351
SMYD3,5623.25278227924,5350
CHPF2,5631.323395664529,5350
C2orf40,7492.500720987617,5350
PTPLB,6572.3743022694725,5349
TCOF1,5655.642004616876,5349
GOLT1A,6101.855969606987,5347
AMY2B,6235.639421827665,5346
SHANK3,8007.726708620934,5343
AASS,5831.0626907316455,5342
KDM4C,5546.432256797956,5342
GGT7,5634.105640154965,5340
NKAIN4,8444.136101382745,5338
LY96,8055.902448166733,5337
MCM4,5939.3787637311825,5336
PHRF1,5533.531708434318,5335
LIPE-AS1,5845.012453893564,5334
C12orf43,5693.893303735892,5334
ASCC1,5568.653668212376,5333
SLC38A6,5634.590663982098,5333
RENBP,6206.5518679859,5332
LRRN2,6164.175904399217,5331
AACS,5721.714099898359,5331
STAT5A,5686.487140145204,5329
PPCDC,5648.156909769375,5329
DNAJC14,5597.674942361069,5328
AR,6553.599853566915,5328
INPP5A,5657.324321024737,5326
MAFF,9365.846928152423,5324
SLC9A2,6442.487321649442,5323
WHAMM,5655.483311246343,5323
DDHD1,5672.005675907298,5319
ZNF710-AS1,6401.6260441008335,5318
RNF19B,5682.878656925534,5317
SGSH,5622.320269705071,5316
AC007906.2,8583.72092431866,5316
DVL2,5509.386642142428,5316
PTPN9,5575.744298902418,5314
C18orf21,5616.016176582232,5314
GPR180,5672.348261355445,5312
CASP8AP2,5756.729151632819,5312
BID,6637.166914487787,5311
LMAN2L,5570.178548575361,5311
FBXL20,5633.627539026551,5309
LTV1,5605.3719235259405,5307
DGCR8,5555.936459999877,5305
CSRNP3,5812.293687846362,5303
SPRED2,5632.357792839447,5300
WDR89,5630.015267046171,5298
VHL,5572.586590037828,5297
SCO2,6111.620080476169,5296
MED17,5564.901868836888,5296
GTF2IRD1,5696.821314218746,5296
ARHGEF40,5642.343445798868,5295
AL118516.1,5910.633440033373,5293
GYS1,5558.94828523347,5292
DHX57,5580.528200818634,5291
MAD1L1,5482.651241642802,5290
AFP,8811.567614332716,5290
GUCY1B1,6382.699120347235,5289
ATG4A,5514.149736400533,5289
NUDT19,5553.441344131984,5288
ADAMTS16,6338.899585715705,5287
CHD1L,5609.835732439989,5284
NSUN3,5520.725761401113,5283
NUP35,5556.510051937695,5283
COG8,5570.071916562161,5282
ERVK3-1,5720.39610324178,5280
ZNF189,5676.1549725580135,5278
FKBP15,5568.2776120648305,5278
PGAP2,5533.4526557728,5277
AC073896.2,5955.607486309018,5276
COG1,5515.542827695273,5275
RIPK1,5577.871743848913,5275
YARS,5530.090064315889,5275
GLE1,5460.60979950308,5271
MOB3A,5485.024948922964,5270
L3HYPDH,5600.009157898018,5270
RGL1,6244.950508308356,5269
FAM214B,5586.811602809194,5268
NIPA1,5601.004452350329,5268
NUDCD1,5536.663938175025,5265
FKBP14,5676.519989459865,5265
SLC6A19,8564.120158282178,5262
THOP1,5478.276312731942,5260
ZNF780A,5465.817675369021,5259
SNIP1,5513.605584448714,5257
ELOA,5628.20879529724,5257
CXorf38,5535.447044148385,5255
ZNF205,5461.119214039005,5253
PTGFRN,5695.813321393823,5250
RNF138,5464.339493432963,5249
TNNC1,8349.439973737088,5248
LGALS9,6725.808344251743,5247
ZNF581,5545.618974711504,5247
POLR3E,5486.858571053711,5245
ASB6,5489.892824986044,5245
VDR,6726.600167384803,5241
RPUSD2,5529.595095057327,5241
ORAOV1,5553.807527157236,5238
ARMC6,5420.475366059078,5236
TRAFD1,5452.935485834686,5235
CSGALNACT1,5933.21314895406,5234
CPAMD8,6975.456744230216,5233
EEF1AKMT1,5737.7495961441455,5233
PARP3,5548.352396091914,5232
AVPR2,8069.523506783741,5232
ZPR1,5561.000279429699,5231
RGS5,53164.593836449836,5230
LRSAM1,5464.634882343768,5229
TMPRSS4,8733.55361686375,5225
CTF1,5638.980812293608,5221
MMD,5697.260934065757,5220
UTP4,5789.115622797108,5220
SEPN1,6389.741028517353,5218
STXBP1,5570.710940167464,5218
C9orf85,5537.043143242532,5218
OTULIN,5689.746197181392,5215
BCL6,5963.593861022239,5213
TXNDC16,5604.057016464891,5212
FAM193A,5448.296521108083,5211
SORBS1,5821.526860618586,5211
TSKU,6497.653753462155,5210
CYTIP,6505.2231757628315,5210
SAMD11,6653.361909920726,5207
RRP1B,5497.282464821637,5206
IPP,5505.157816823255,5205
HPS5,5528.433901328077,5205
TMEM204,9269.890652300413,5203
HOXB-AS1,5767.319638997728,5203
LMTK2,5518.236548507005,5202
TMEM97,5656.81434300774,5202
ANKS6,5493.013013307464,5202
LARGE2,5807.420144097422,5199
LRRC32,8630.470957142488,5198
ABRAXAS1,5617.830417708976,5198
RNF217,5604.4005988167855,5197
USP37,5514.878542971086,5195
TBP,5434.669176629731,5195
N6AMT1,5498.540419138286,5193
ARRDC2,6384.673822274762,5189
CCDC88C,5607.5861464562795,5188
ANXA9,6461.3535978042555,5187
ERN1,5765.55906447337,5186
CCDC160,5742.596145689561,5185
UFD1L,6323.2188905162775,5182
ARMCX5,5440.23998949584,5182
POLM,5398.257807799673,5177
RPL39L,5722.657334600324,5177
FAM69B,5683.964080843807,5176
RHPN2,5522.296484748221,5175
TUBG2,5440.2537705955665,5174
NOXA1,5425.929646886766,5172
PTGFR,6629.690928948595,5172
MBTPS2,5429.747130829122,5172
FGD6,5747.767380619556,5169
MAN2A2,5379.777305170816,5167
BNIP1,5440.823067120414,5166
DNAJC24,5454.164396791455,5166
DOCK11,6070.31752729019,5165
UBXN8,5714.76878861869,5162
FYCO1,5419.036556627371,5162
NRD1,7216.506304845695,5161
RNF219,5450.522417747702,5158
LAT,5987.128891680006,5157
SAMD4A,5793.910529619817,5157
PDCD11,5450.076008583254,5156
GFOD2,5419.066654595839,5156
TMEM27,11707.206201516432,5155
FOXRED1,5419.004076154578,5153
CD302,6317.032261277804,5153
ZNF445,5430.048538894694,5152
CLEC16A,5414.1670292392855,5151
RNF26,5383.656875326571,5150
CDKL1,5526.514000541937,5148
ARHGEF5,5527.103796763311,5147
CEP135,5477.283420140061,5146
FARP2,5394.367223298245,5145
VPS18,5370.535555267901,5144
PARP2,5408.994256738115,5144
LIPT1,5437.598636851456,5143
C17orf80,5451.88067771082,5143
PLXND1,6588.326669388549,5141
FBXL12,5365.94971914734,5139
APBB1IP,6219.993005006286,5137
KIZ,5788.429315497516,5133
MAP3K12,5393.288253265207,5132
PSD4,5346.455498854647,5130
WNK3,5720.517090947724,5129
ALG1,5353.288718664149,5129
PRMT7,5346.772428659466,5129
EPN3,5838.549769252629,5127
LMBR1L,5358.278365271408,5126
ZMYND19,5351.333694604539,5126
NSDHL,5344.2423182759085,5124
CAPN5,5514.061311695304,5124
NEIL1,5454.527561134038,5124
MMRN2,9093.294815290268,5124
SMEK1,6045.286002221321,5122
LINC01578,8283.685417099261,5121
DNAJC12,6526.9566071338095,5121
NHLRC4,6297.784242288764,5121
MCM5,5550.04970774667,5118
ZNF140,5338.895146610655,5115
PARD3B,5550.065562741604,5115
MNDA,14889.322602665663,5112
ZNF880,5472.02562468865,5112
DUSP2,10739.929566723375,5109
SLC26A11,5358.720588009776,5109
COP1,5382.444733226122,5109
MRPL38,6003.095803201697,5109
CCDC22,5305.307544153369,5108
GALNS,5359.51040144801,5108
PTPN21,5501.312286861066,5108
ORC2,5342.694982382904,5107
MORC4,5532.968318581,5106
IFT140,5357.296063184525,5106
ADGRA3,5608.694412342779,5104
MEX3D,5472.315139688896,5103
USPL1,5344.4379619263345,5102
TBL2,5325.565639635947,5100
ZC3H12C,5525.805394179074,5099
REEP6,5779.7706533142,5096
ARHGEF38,5846.444292055555,5094
MCU,5395.765132708613,5094
NKIRAS1,5389.565612269393,5093
SERPINI1,6237.445615124578,5092
METTL25,5388.639429661316,5092
PAQR8,5745.137727003373,5091
SEPTIN2,8473.218537681567,5091
PIK3R4,5307.78847247712,5091
GTF2H2C,5361.312307409114,5089
CLK2,5315.445376664365,5088
LEO1,5369.831154444671,5087
LONRF2,5670.56626136789,5084
PALM3,5617.853356791894,5084
RPS6KA4,5324.490347984555,5081
AMOT,5553.667318638553,5080
CLNK,10165.962681458019,5079
RASL11B,7372.372741573113,5079
NDUFAF7,5292.88718070999,5078
ATAD3B,5283.275562470248,5077
NSMAF,5268.456983973036,5076
SLC12A4,5380.045460352674,5076
AL162231.1,5625.440893609677,5076
DEPP1,7943.938675739243,5075
CDK17,5384.555260800674,5075
CACNA2D1,5588.579878248307,5074
SYNC,5293.779654415496,5072
LHX1-DT,6584.736653597647,5072
ACACA,5324.864180305008,5071
RBAK,5331.165204048126,5071
LINC01158,7836.011732575047,5070
NAB2,6923.763059153589,5068
FILIP1L,7375.905330013172,5067
CCDC30,5460.26562976238,5064
RELB,5581.729394607801,5064
NUP88,5339.122155521737,5063
RAB20,5483.308610209636,5062
ADGRE5,6085.802492149777,5061
GTPBP2,5326.761461202491,5058
EIPR1,5516.477882752087,5057
ZNF621,5315.048323368712,5057
USP28,5317.256679779864,5056
CEP120,5293.750928856768,5056
TNFAIP3,6664.038149394644,5056
CAMKMT,5297.343807572409,5055
CORO7,5316.7830713882595,5053
TTC8,5324.03133053983,5053
LRRC1,5361.047928233693,5049
CRY1,5383.559978812845,5048
INPP4A,5407.4706862193,5046
SERINC5,5451.414054395324,5044
AVPI1,5594.539444120585,5042
PMS2,5313.612537642155,5042
E4F1,5266.827598780753,5042
CAMKK2,5279.791619820838,5041
PPP3CC,5278.543867208307,5041
BTBD10,5253.321055880324,5041
CD3E,8262.14350806277,5039
HOPX,9678.302587254619,5039
IRAK1BP1,5368.705006344698,5039
C12orf44,6111.656801170469,5038
HMBS,5273.409544409152,5037
ULK2,5264.7353942081345,5035
FZD7,6938.146908431722,5034
TNFRSF1B,7252.590366811664,5033
ZNF181,5294.01528069722,5033
KBTBD4,5276.761305970606,5032
USP31,5538.764611046358,5031
HSD17B1,5363.742303931756,5027
ZNF766,5341.49848303622,5025
TUBGCP3,5248.190112789088,5025
LYPD6B,5944.188140077768,5024
EVI2B,6943.786127320816,5022
FBXW9,5266.620370001423,5020
RSPH1,5669.05918291729,5018
HECTD3,5241.829029543849,5016
EXOC2,5214.084975061689,5016
IQCE,5297.278481801808,5015
CPXM2,6375.843361252332,5015
ZNF518B,5317.212955843564,5015
ANKRD44,5507.430158021627,5015
ARSK,5354.5968490507985,5014
AOX1,6831.801875447406,5014
B4GALNT3,5915.699586396546,5014
ZNF771,5317.204898806536,5013
NAGPA,5205.915991969047,5012
TANGO2,5310.403741471351,5012
FAM149B1,5199.768427381877,5011
KIT,9642.095603941974,5009
CLDN14,8239.256023680964,5008
NAT10,5244.586158600685,5007
NAXD,5339.535491766989,5007
HIRA,5194.272066736526,5006
MAP3K5,5332.213269008184,5003
TLNRD1,5686.340723354175,5001
RFWD3,5301.928652953985,4998
INTS12,5246.184280603327,4998
ANKRD6,5304.363933964435,4995
RBM19,5186.695089527647,4995
IL6R,5636.386884974488,4994
SUV420H1,5869.883633830421,4994
S100A9,49597.26345591234,4994
CHFR,5206.472539433047,4993
ZCCHC2,5234.091845182447,4989
AL355353.1,5546.27177494245,4989
APEX2,5213.1547568008755,4988
UBQLN4,5205.450577012846,4986
DENND3,5395.554553597811,4986
RHBDD1,5247.089602393187,4984
SPATA7,5299.764936528391,4981
DBR1,5202.9993403199915,4976
MPV17L2,5272.877221466164,4975
RPUSD1,5157.554035996566,4972
SLC16A2,5324.243280284279,4970
ZNF793,5329.53147164672,4969
GPR110,8620.192365070654,4968
ZNF426,5305.974818228789,4968
ZNF224,5194.7992706447185,4968
PLG,9016.869714057553,4968
KIAA1586,5197.460005825902,4967
HACE1,5230.967636850789,4965
SLC29A2,5344.0507399981625,4965
WFS1,5279.118862903017,4965
CLPB,5270.556529394048,4964
